id:ID,name_ko,name_en,category,origin,definition,:LABEL
reasoning-model,추론 모델 / 사고 과정,Reasoning Model / Chain-of-Thought,llm,2024-09,"답하기 전에 내부적으로 긴 사고 과정(chain-of-thought)을 생성하는 모델·기법. ""단계별로 생각하기""가 정답률을 올린다는 2022년 CoT 연구에서 출발했으며, ReAct의 이론적 토대 중 하나입니다.",Content
hallucination,환각,Hallucination,llm,2020,모델이 사실이 아닌 내용을 그럴듯하게 생성하는 현상. 도구 호출로 실제 데이터를 조회(그라운딩)하면 완화할 수 있습니다. 예시: 존재하지 않는 논문 제목과 저자를 그럴듯하게 지어내는 것이 전형적인 환각입니다.,Content
grounding,그라운딩,Grounding,llm,2020,"모델의 출력을 실제 세계의 근거(도구 결과, 검색 결과, 파일 내용)에 붙들어 매는 것. ReAct에서 관찰(Observation)이 생각을 그라운딩하는 역할을 합니다.",Content
auxiliary-model,보조 모델,Auxiliary Model,llm,2023,"본 대화가 아닌 잡무(요약, 제목 생성, 백그라운드 정비)에 쓰는 값싸고 빠른 모델. Hermes에서는 컨텍스트 압축의 요약과 큐레이터 실행에 사용됩니다. 예시: 메인 대화는 고성능 모델이 하고, 대화 요약은 10배 싼 소형 모델이 처리하는 식의 역할 분담입니다.",Content
embedding,임베딩,Embedding,llm,2013-01,"텍스트를 의미를 담은 숫자 벡터로 변환한 것. 벡터 검색의 기반이며, 비슷한 의미의 텍스트는 가까운 벡터가 됩니다. 예시: ""강아지""와 ""반려견""은 글자는 다르지만 임베딩 벡터는 매우 가깝습니다.",Content
agent,에이전트,Agent,agent,1995(AI 교과서)·2022(LLM 에이전트),"LLM이 도구 호출을 통해 환경과 상호작용하며 여러 단계에 걸쳐 목표를 수행하는 시스템. 단발성 질문-답변 챗봇과 달리, 계획하고 행동하고 관찰 결과를 반영하는 루프를 반복합니다. 예시: ""이 저장소의 버그를 고쳐줘""라는 요청에 코드를 읽고, 수정하고, 테스트를 돌리고, 결과를 보고하는 것까지 해내는 시스템이 에이전트입니다.",Content
aiagent,AIAgent 클래스,AIAgent (run_agent.py),agent,2025,"Hermes의 에이전트 코어 클래스(`run_agent.py`). 모델/제공자/세션/도구/콜백 상태를 보관하고, run_conversation 루프를 구동합니다. 기본 최대 반복 횟수는 90회입니다.",Content
tool-calling,도구 호출 (함수 호출),Tool Calling / Function Calling,agent,2023-06,"LLM에게 함수 목록(도구 스키마)을 알려주고, 모델이 자연어 대신 `{""name"": ..., ""arguments"": ...}` 형태의 구조화된 호출을 내놓게 하는 기능. 텍스트 생성만 하던 모델이 실제 행동을 하게 만드는 관문입니다. 예시: ""서울 날씨 알려줘""에 모델이 `get_weather(city=""Seoul"")` 호출을 출력하고, 시스템이 실행 결과를 돌려주면 모델이 답을 완성합니다.",Content
tool-calling-loop,도구 호출 루프,Tool-Calling Loop,agent,2022-10,모델 호출 → 도구 실행 → 결과 반환 → 다시 모델 호출을 반복하는 에이전트의 심장 박동. 모델이 도구 호출 없이 최종 답을 내놓거나 반복 예산이 소진되면 종료됩니다. 예시: 파일 읽기 → 버그 발견 → 수정 쓰기 → 테스트 실행 → 통과 확인 → 최종 보고. 이 여섯 단계가 한 루프에서 이어집니다.,Content
run-conversation,run_conversation 루프,run_conversation,agent,2025,"Hermes의 대화 루프 구현(`agent/conversation_loop.py`). 재시도·폴백·압축·도구 디스패치·사후 훅을 모두 포함하며, `while (api_call_count < max_iterations and budget.remaining > 0) or grace_call` 조건으로 돌아갑니다.",Content
turn,턴,Turn,agent,대화시스템 일반(1990년대),사용자 메시지 하나에 대해 에이전트가 응답을 완성하기까지의 한 사이클. 한 턴 안에 여러 번의 모델 호출과 도구 실행이 있을 수 있습니다.,Content
iteration-budget,반복 예산,Iteration Budget,agent,2025,"한 턴에서 허용되는 모델 호출 횟수의 상한. 무한 루프와 비용 폭주를 막는 안전장치이며, Hermes에서는 부모와 서브에이전트가 예산을 공유합니다. 예시: 예산이 90회인데 모델이 같은 오류를 내는 도구를 계속 부르면, 90회에서 강제 종료되어 비용 폭주를 막습니다.",Content
grace-call,그레이스 콜,Grace Call,agent,2025,"반복 예산이 소진됐을 때, 어중간하게 끊기지 않도록 '마무리 답변을 만들기 위한 마지막 한 번의 호출'을 허용하는 장치.",Content
react,ReAct 패턴,ReAct (Reason + Act),agent,2022-10,생각(Thought) → 행동(Action) → 관찰(Observation)을 반복하는 에이전트 패턴(2022년 논문). 행동이 생각을 그라운딩하고 생각이 행동을 조직화합니다. 네이티브 도구 호출은 이 패턴의 구조화된 후예입니다. 예시: Thought: 파일을 먼저 봐야겠다 → Action: read_file → Observation: (파일 내용) → Thought: 12행이 문제다... 의 반복이 ReAct입니다.,Content
role-alternation,역할 교대 불변식,Role Alternation,agent,2023-03,assistant(도구 호출) → tool(결과) → assistant(다음 응답) 순서로 역할이 엄격히 교대해야 하는 규칙. 같은 역할이 연속되거나 합성 user 메시지를 중간에 끼우면 API 오류와 캐시 무효화를 일으킵니다. 예시: assistant(도구 호출) 바로 다음에 또 assistant 메시지를 넣으면 API가 거부합니다. 반드시 tool 결과가 사이에 있어야 합니다.,Content
message-protocol,메시지 프로토콜,Message Protocol (roles),agent,2023-03,system/user/assistant/tool 네 가지 역할로 구성되는 대화 형식. 도구 결과는 tool 역할 메시지로 반환되며 tool_call_id로 어느 호출의 결과인지 짝지어집니다.,Content
tool-call-id,tool_call_id,tool_call_id,agent,2023-11,모델이 낸 각 도구 호출에 부여되는 고유 식별자. 병렬 도구 호출 시 어떤 결과가 어떤 호출에 대응하는지 구분하는 데 필수입니다.,Content
parallel-tool-calls,병렬 도구 호출,Parallel Tool Calls,agent,2023-11,"모델이 독립적인 여러 도구를 한 응답에서 동시에 호출하는 기능. 서로 의존성이 없는 작업(여러 파일 읽기 등)의 지연을 줄입니다. 예시: ""세 파일을 비교해줘""에 모델이 read_file 세 개를 한 번에 호출하면, 순차 호출 대비 시간이 1/3로 줄어듭니다.",Content
retry-fallback,재시도와 폴백,Retry & Fallback,agent,2025,"모델 API 오류(레이트리밋, 일시 장애) 시 재시도하고, 반복 실패 시 다른 모델/제공자로 갈아타는 복원 메커니즘. 크리덴셜 풀과 결합해 가용성을 높입니다. 예시: Claude가 응답하지 않으면 잠시 후 재시도하고, 계속 실패하면 GPT로 갈아타 대화를 이어갑니다.",Content
provider,LLM 제공자,LLM Provider,agent,2023,"OpenAI, Anthropic, Google 등 모델 API를 제공하는 회사/서비스. Hermes는 제공자 추상화 계층으로 서로 다른 API 형식을 통일해, 같은 루프에서 어떤 모델이든 쓸 수 있게 합니다. 예시: 같은 ""파일을 읽어줘"" 요청이 OpenAI에서는 tools 형식, Anthropic에서는 tool_use 블록으로 표현되는데, 제공자 계층이 이 차이를 숨깁니다.",Content
model-metadata,모델 메타데이터,Model Metadata,agent,2025,"각 모델의 컨텍스트 한도, 지원 기능(도구 호출, 비전), 가격 등의 정보. 압축 임계값 계산과 기능 분기에 사용됩니다.",Content
credential-pool,크리덴셜 풀,Credential Pool,agent,2025,"같은 제공자의 API 키를 여러 개 등록해 두고, 레이트리밋이나 잔액 소진 시 자동으로 다음 키로 회전(failover)하는 시스템. 예시: API 키 3개를 등록해 두면, 1번 키가 레이트리밋에 걸렸을 때 자동으로 2번 키로 넘어갑니다.",Content
moa,Mixture-of-Agents (MoA),Mixture-of-Agents,agent,2024-06,"여러 LLM에게 같은 질문을 주고 그 답들을 다시 다른 LLM이 종합해 최종 답을 만드는 추론 시점 조합 기법. Hermes에서는 `/moa` 명령으로 명시적으로 호출합니다(비용이 크므로 기본 경로가 아님). 예시: 같은 질문을 GPT·Claude·Gemini에게 묻고, 세 답변을 Claude가 읽고 종합해 최종 답을 만드는 것이 MoA입니다.",Content
proposer-aggregator,제안자/종합자,Proposer / Aggregator,agent,2024-06,"MoA의 두 역할: 제안자(proposer)들이 초안을 내고, 종합자(aggregator)가 초안들을 읽고 하나의 개선된 답으로 합칩니다.",Content
ensemble,앙상블,Ensemble,agent,1990년대(기계학습),"여러 모델의 예측을 결합해 단일 모델보다 나은 결과를 얻는 고전적 머신러닝 기법(배깅, 부스팅 등). MoA는 생성 태스크용 앙상블로 볼 수 있습니다.",Content
self-consistency,자기일관성,Self-Consistency,agent,2022-03,같은 모델에서 여러 답을 샘플링해 다수결로 결정하는 기법. '여러 모델' 대신 '여러 시도'를 쓰는 MoA의 단순 버전입니다.,Content
llm-as-judge,LLM 심판,LLM-as-a-Judge,agent,2023-06,강한 LLM에게 후보 답변들을 채점·선택하게 하는 기법. 종합자 대신 '심판'을 쓰는 변형이며 평가 벤치마크에서도 널리 쓰입니다.,Content
moe,Mixture-of-Experts (MoE),Mixture-of-Experts,agent,1991·2017(희소 MoE),하나의 모델 내부에서 토큰마다 일부 파라미터(전문가)만 활성화하는 아키텍처. 이름이 비슷한 MoA(완성된 여러 모델의 외부 조합)와 자주 혼동되지만 완전히 다른 개념입니다. 예시: Mixtral 8x7B는 내부에 전문가 8명을 두고 토큰마다 2명만 활성화하는 MoE 모델입니다. 이는 모델 내부 구조이지 MoA 같은 외부 조합이 아닙니다.,Content
subagent,서브에이전트 / 위임,Subagent / Delegation,agent,2023,"메인 에이전트가 하위 작업을 떼어 별도 에이전트 인스턴스에 맡기는 것. Hermes의 `delegate` 도구가 이를 수행하며, 부모와 반복 예산을 공유해 폭주를 막습니다. 예시: ""이 라이브러리의 문서를 조사해줘""를 서브에이전트에 맡기면, 조사 과정의 긴 컨텍스트가 메인 대화를 오염시키지 않습니다.",Content
delegation,델리게이션 (작업 위임),Delegation,agent,2023,복잡한 작업을 하위 작업으로 나눠 서브에이전트에 맡기는 패턴. 컨텍스트를 분리해 메인 대화를 깨끗하게 유지하는 효과도 있습니다. 다중 에이전트 협업에는 칸반이 사용됩니다.,Content
kanban,칸반 (다중 에이전트 보드),Kanban,agent,1940년대(도요타)·2025(Hermes),여러 에이전트가 작업을 주고받는 내구성 있는 작업 보드. 디스패처가 작업을 배분하고 워커 에이전트들이 처리하는 다중 에이전트 협업 계층입니다.,Content
tool,도구,Tool,tools,2023-03,"에이전트가 호출할 수 있는 기능 하나(터미널, 파일 읽기, 웹 검색 등). 스키마(모델에게 보이는 명세)와 핸들러(실제 실행 코드)의 쌍으로 구성됩니다. 예시: terminal(셸 실행), read_file(파일 읽기), web_search(웹 검색)가 각각 하나의 도구입니다.",Content
tool-schema,도구 스키마,Tool Schema,tools,2023-06,"도구의 이름·설명·매개변수(JSON Schema)를 담은 명세. 모든 도구의 스키마가 매 API 호출에 전송되므로, 스키마 크기가 곧 상시 비용입니다 — 좁은 허리 원칙의 근거. 예시: `{""name"": ""read_file"", ""parameters"": {""path"": {""type"": ""string""}}}` 같은 명세가 스키마입니다. 이것이 모든 API 호출에 실려 갑니다.",Content
json-schema,JSON Schema,JSON Schema,tools,2010-01,"JSON 데이터의 구조(타입, 필수 필드, 열거값)를 선언하는 표준. 도구 매개변수 명세에 사용되며, 모델은 이 스키마에 맞는 인자를 생성합니다. 예시: `{""type"": ""object"", ""properties"": {""city"": {""type"": ""string""}}, ""required"": [""city""]}`가 JSON Schema입니다.",Content
tool-registry,도구 레지스트리,Tool Registry,tools,2025,"모든 도구의 등록부(`tools/registry.py`). 도구 이름 → 핸들러/스키마/가용성 검사 매핑을 보관하며, 디스패치의 진입점입니다.",Content
self-registration,자기 등록,Self-Registration,tools,2025,각 도구 파일이 import될 때 스스로 `registry.register(...)`를 호출해 등록되는 패턴. 코어를 수정하지 않고 도구를 추가할 수 있게 합니다.,Content
ast-discovery,AST 기반 도구 발견,AST-based Discovery,tools,2025,"`discover_builtin_tools`가 `tools/*.py`를 실제 import하기 전에 AST(추상 구문 트리)로 검사해, 모듈 수준에서 `registry.register`를 호출하는 파일만 import하는 최적화. 불필요한 import 비용과 부작용을 피합니다.",Content
dispatch,디스패치,Dispatch,tools,2025,"모델이 낸 도구 호출(이름+인자)을 받아 레지스트리에서 핸들러를 찾아 실행하고, 결과를 정규화해 돌려주는 과정. 예외가 나도 에러 봉투로 감싸 루프가 죽지 않게 합니다. 예시: 모델이 `terminal(command=""ls"")`를 내면, 디스패처가 레지스트리에서 terminal 핸들러를 찾아 실행하고 출력 문자열을 돌려줍니다.",Content
handler,핸들러,Handler,tools,2025,"도구의 실제 실행 코드(파이썬 함수). 동기/비동기 모두 지원되며, 디스패치가 호출합니다.",Content
result-normalization,결과 정규화,Result Normalization,tools,2025,"핸들러가 돌려준 다양한 형태(문자열, dict, 예외)의 결과를 모델에 반환 가능한 일관된 형식으로 변환하는 단계. 결과 크기 상한도 여기서 적용됩니다.",Content
error-envelope,에러 봉투,Error Envelope,tools,2025,"도구 실행 실패를 `{""error"": ""...""}` JSON으로 감싸 모델에 돌려주는 패턴. 루프를 죽이는 대신 모델이 오류를 읽고 스스로 대처(재시도, 다른 방법)하게 만듭니다. 예시: 파일이 없을 때 예외로 죽는 대신 `{""error"": ""File not found: x.py""}`를 모델에 주면, 모델이 경로를 고쳐 다시 시도합니다.",Content
check-fn,가용성 검사 (check_fn),check_fn (Service Gating),tools,2025,"도구가 전제 조건(API 토큰, 서비스 설정)이 갖춰졌을 때만 모델에 노출되게 하는 검사 함수. 조건이 없으면 스키마가 아예 전송되지 않아 비용이 0이 됩니다 — 풋프린트 사다리의 3번 단계. 예시: Home Assistant 토큰이 설정된 사용자에게만 스마트홈 도구가 나타나고, 없는 사용자에게는 스키마조차 전송되지 않습니다.",Content
toolset,툴셋,Toolset,tools,2025,"도구들의 논리적 묶음(파일, 브라우저, 스킬 등). 세션·작업별로 활성화할 툴셋을 선택할 수 있습니다.",Content
core-tools,코어 도구,Core Tools (_HERMES_CORE_TOOLS),tools,2025,"terminal, 파일 읽기, 웹 검색처럼 거의 모든 사용자에게 근본적으로 필요한 최소한의 도구 집합. 새 코어 도구 추가는 좁은 허리 원칙상 최후의 수단입니다.",Content
terminal-tool,터미널 도구,Terminal Tool,tools,2025,"에이전트가 셸 명령을 실행하는 도구. 실제 실행은 실행 환경 백엔드에 위임되며, 위험 명령은 명령 승인 계층을 거칩니다.",Content
file-tools,파일 도구,File Tools,tools,2025,파일 읽기/쓰기/편집 도구군. 에이전트가 코드베이스를 읽고 수정하는 기본 수단입니다.,Content
browser-tool,브라우저 도구,Browser Tool,tools,2025,"에이전트가 웹 브라우저를 조작하는 고수준 도구. 로컬 크로미움과 클라우드 브라우저를 동일 인터페이스로 노출하고, 접근성 트리 스냅샷과 ref 선택자로 조작합니다. 예시: ""이 사이트에서 가격표를 읽어줘""에 browser_navigate → 스냅샷 → 텍스트 추출 순으로 동작합니다.",Content
browser-cdp-tool,browser_cdp (CDP 탈출구),browser_cdp Tool,tools,2025,"임의의 CDP 명령을 브라우저에 직접 보내는 저수준 도구. 고수준 도구가 못 다루는 경우(네이티브 다이얼로그, iframe 평가)를 위한 탈출구이며, 허용 메서드 화이트리스트로 통제됩니다. 예시: 고수준 도구로 닫을 수 없는 네이티브 인쇄 다이얼로그를 `Page.handleJavaScriptDialog` CDP 명령으로 직접 처리할 수 있습니다.",Content
vision-tools,비전 도구,Vision Tools,tools,2025,이미지를 분석하는 도구군. 비전 요청을 메인 대화 모델과 독립적으로 전문 모델에 라우팅합니다.,Content
web-search-tool,웹 검색 도구,Web Search Tool,tools,2025,에이전트가 웹을 검색해 최신 정보를 얻는 도구. 학습 데이터에 없는 사실의 그라운딩 수단입니다.,Content
delegate-tool,delegate 도구,Delegate Tool,tools,2025,"서브에이전트를 띄워 작업을 맡기는 도구. 위임 패턴의 구현입니다. 예시: delegate(task=""테스트 실패 원인 조사"")를 호출하면 별도 에이전트가 조사를 수행하고 요약만 돌아옵니다.",Content
skill-tool,스킬 도구 (skill_view),Skill Tools,tools,2025,스킬 본문을 필요할 때 로드하는 도구. 점진적 공개의 2단계(본문 로드)를 담당합니다.,Content
computer-use,컴퓨터 사용,Computer Use,tools,2024-10,화면 스크린샷을 보고 마우스/키보드를 조작하는 GUI 자동화 도구군. 브라우저를 넘어 데스크톱 전체를 다룹니다.,Content
voice-mode,음성 모드,Voice Mode,tools,2024-05,음성 입출력(STT/TTS)으로 에이전트와 대화하는 모드.,Content
max-result-size,도구 결과 크기 상한,Max Result Size,tools,2025,도구 결과가 컨텍스트를 폭식하지 않도록 문자 수 상한을 두고 초과분을 자르는 장치. 도구별로 상한을 다르게 설정할 수 있습니다.,Content
context-engineering,컨텍스트 엔지니어링,Context Engineering,context,2024,"한정된 컨텍스트 윈도우 안에 '무엇을, 어떤 순서로, 얼마나' 넣을지 설계하는 기술 전반. 프롬프트 계층화, 압축, 점진적 공개가 모두 여기에 속합니다.",Content
system-prompt-tiers,시스템 프롬프트 3계층,System Prompt Tiers,context,2025,"Hermes 시스템 프롬프트의 3계층 구조: stable(정체성·규칙, 가장 안정적) → context(호출자 지정 지시·컨텍스트 파일) → volatile(메모리 스냅샷, 가장 잘 변함). 안정적인 것을 앞에 두어 캐시 적중률을 극대화합니다.",Content
soul-md,SOUL.md,SOUL.md,context,2025,"에이전트의 정체성과 행동 원칙을 담은 마크다운 파일. 시스템 프롬프트의 stable 계층에 포함되어 에이전트의 '영혼' 역할을 합니다. 예시: ""너는 간결하게 답하고, 확실하지 않으면 모른다고 말한다"" 같은 정체성 규칙이 SOUL.md에 담깁니다.",Content
persona,페르소나,Persona,context,2022,에이전트가 일관되게 유지하는 성격·말투·가치관. SOUL.md로 정의되며 프로필별로 다르게 설정할 수 있습니다.,Content
context-compression,컨텍스트 압축,Context Compression,context,2023-10,"대화가 컨텍스트 한도에 다가가면 중간 턴들을 보조 모델로 요약해 토큰을 회수하는 메커니즘(`agent/context_compressor.py`). 프롬프트 캐싱을 깨는 유일하게 허용된 예외입니다. 예시: 10만 토큰 대화에서 중간 7만 토큰을 2천 토큰 요약으로 대체해, 대화를 계속할 여유를 만드는 것이 압축입니다.",Content
summarization,요약 기반 압축,Summarization,context,2019(뉴럴 요약),오래된 대화 구간을 LLM으로 요약해 짧은 텍스트로 대체하는 압축 방식. 정보 손실과 토큰 회수 사이의 균형이 핵심입니다.,Content
structured-summary,구조화 요약,Structured Summary,context,2025,"자유 서술 대신 정해진 템플릿(해결된 질문/미해결 질문/핵심 결정 등)으로 요약을 생성하는 기법. 후속 대화에 필요한 정보가 누락되는 것을 줄입니다. 예시: 자유 요약 대신 ""해결됨: DB 마이그레이션 / 미해결: 테스트 2개 실패 / 결정: pytest로 통일"" 형식으로 남기는 것입니다.",Content
head-tail-protection,머리/꼬리 보호,Head/Tail Protection,context,2023-07,"압축 시 대화의 머리(초기 지시·목표)와 꼬리(최근 맥락)는 원문 그대로 두고 중간만 요약하는 전략. 중간 소실 연구와도 일치하는 설계입니다. 예시: ""처음의 작업 지시(머리)""와 ""방금 나눈 대화(꼬리)""는 원문 유지, 그 사이의 시행착오 기록만 요약 대상이 됩니다.",Content
token-budget-tail,토큰 예산 기반 꼬리 보호,Token-Budget Tail Protection,context,2025,'최근 N개 메시지'가 아니라 '꼬리에 남길 토큰 예산'으로 보호 범위를 정하는 방식. 메시지 길이 편차에 강건합니다.,Content
tool-output-pruning,도구 출력 가지치기,Tool Output Pruning,context,2025,"LLM 요약 전에 큰 도구 출력(웹 검색 결과 등)을 ""[web_search] 5 results (2500 chars)"" 같은 한 줄로 대체하는 값싼 사전 처리 단계.",Content
lost-in-the-middle,중간 소실 현상,Lost in the Middle,context,2023-07,"긴 컨텍스트에서 모델이 처음과 끝은 잘 기억하지만 중간 정보는 잘 놓친다는 2023년 연구 결과. '중간부터 요약하라'는 머리/꼬리 보호 설계의 근거입니다. 예시: 20개 문서를 컨텍스트에 넣고 질문하면, 정답이 10번째 문서에 있을 때 정확도가 가장 낮게 나옵니다(U자형 곡선).",Content
compression-lineage,압축 계보,Compression Lineage (parent_session_id),context,2025,"압축이 일어나면 새 세션 행을 만들고 `parent_session_id`로 원본을 가리켜, 압축 전 전체 이력을 잃지 않고 추적하는 구조.",Content
context-engine,컨텍스트 엔진,Context Engine,context,2025,컨텍스트 구성 전략을 교체 가능하게 만든 추상화(`agent/context_engine.py`). 기본 압축기 대신 대안 엔진을 플러그인으로 끼울 수 있습니다.,Content
context-file,컨텍스트 파일 (AGENTS.md),Context Files,context,2025,작업 디렉토리의 AGENTS.md 등 저장소별 지침 파일. 시스템 프롬프트의 context 계층에 삽입되어 저장소 규칙을 에이전트에게 알립니다.,Content
compression-cooldown,압축 쿨다운,Compression Cooldown,context,2025,압축 실패가 반복될 때 일정 시간 재시도를 멈추는 장치. 실패 루프로 인한 비용 낭비를 막습니다.,Content
self-improving-agent,자기개선 에이전트,Self-Improving Agent,memory,2023-05,"실행 경험으로부터 배워 다음 실행이 더 나아지는 에이전트. 가중치 재학습 대신 외부 메모리(스킬, 메모리)에 지식을 축적하는 방식이 실용적 주류입니다(Voyager, Reflexion 계열). 예시: 처음에 3번 시행착오했던 배포 작업을, 그 절차를 스킬로 저장한 뒤에는 한 번에 해내는 에이전트입니다.",Content
memory,메모리 (에이전트 기억),Agent Memory,memory,2023-05,"에이전트가 대화·세션을 넘어 유지하는 지식. 인지과학 분류를 빌려 절차 기억·의미 기억·일화 기억으로 나눠 설계합니다. 예시: ""이 사용자는 답변을 한국어로 원한다""(의미 기억), ""지난주에 배포 절차를 함께 정리했다""(일화 기억), ""배포하는 법""(절차 기억).",Content
procedural-memory,절차 기억,Procedural Memory,memory,1970년대(인지심리),'어떻게 하는가'에 대한 기억. Hermes에서는 스킬(작업 절차 문서)로 구현됩니다.,Content
semantic-memory,의미 기억,Semantic Memory,memory,1972(Tulving),"'무엇이 사실인가'에 대한 기억(사용자 선호, 프로젝트 지식). 메모리 도구와 메모리 제공자가 담당합니다.",Content
episodic-memory,일화 기억,Episodic Memory,memory,1972(Tulving),'무슨 일이 있었는가'에 대한 기억(과거 대화 이력). SessionDB에 저장되고 세션 검색으로 회수됩니다.,Content
skill,스킬,Skill,memory,2023-05(Voyager),"특정 작업의 절차를 담은 재사용 가능한 지식 단위(디렉토리 + SKILL.md + 스크립트). 에이전트가 스스로 만들고 개선할 수 있어 자기개선의 핵심 매체입니다. 예시: ""주간 보고서 만들기"" 스킬 = 트리거 조건 + 데이터 수집 명령 + 서식 규칙 + 주의사항을 담은 SKILL.md 디렉토리 하나입니다.",Content
skill-md,SKILL.md,SKILL.md,memory,2025,스킬의 본문 문서. 프런트매터(이름·설명·트리거 조건)와 단계별 절차·주의사항으로 구성됩니다.,Content
frontmatter,프런트매터,Frontmatter,memory,2008(Jekyll),마크다운 파일 머리에 붙는 YAML 메타데이터 블록. 스킬의 이름과 설명만 이 부분에서 읽어 시스템 프롬프트에 실을 수 있게 합니다(점진적 공개의 1단계). 예시: SKILL.md 맨 위의 `---\nname: weekly-report\ndescription: 주간 보고서 생성\n---` 블록이 프런트매터입니다.,Content
progressive-disclosure,점진적 공개,Progressive Disclosure,memory,1980년대(HCI)·2025(Anthropic Skills),"스킬 목록(이름+한 줄 설명)만 상시 노출하고, 본문은 필요할 때 도구로 로드하는 계층적 로딩 전략. 스킬이 늘어나도 상시 토큰 비용이 완만하게 증가합니다. 예시: 스킬 50개가 있어도 시스템 프롬프트에는 '이름+한 줄 설명' 50줄만 실리고, 본문은 해당 작업을 만났을 때만 로드됩니다.",Content
curator,큐레이터,Curator,memory,2025,"유휴 시간에 백그라운드로 스킬 라이브러리를 정비하는 구성요소(`agent/curator.py`). 에이전트가 만든 스킬만 대상으로 하고, 삭제 대신 보관하며, 고정된 스킬은 건드리지 않습니다. 예시: 한동안 안 쓰인 중복 스킬 두 개를 유휴 시간에 하나로 합치고, 원본은 보관 폴더로 옮기는 것이 큐레이터의 일입니다.",Content
archive,보관 (비파괴 정리),Archive (Non-Destructive),memory,2025,스킬을 지우는 대신 보관 폴더로 옮기는 정책. 자동화된 정리가 잘못돼도 복구할 수 있게 하는 안전장치입니다.,Content
pinning,스킬 고정,Skill Pinning,memory,2025,사용자가 중요 표시한 스킬을 큐레이터의 상태 전환(보관 등)에서 제외하는 기능.,Content
skills-hub,스킬 허브,Skills Hub,memory,2025,스킬을 패키징해 공유·배포하는 저장소 생태계. 번들 스킬(모두에게 유용)과 허브 스킬(특정 용도)로 나뉩니다.,Content
